NAME,TYPE,PACKAGE,PERSONAL DESKTOP,PERSONAL LAPTOP,WORK LAPTOP,SERVER,DISABLED
7zip,nixpkgs,_7zz,y,y,y,y,
act,nixpkgs,act,y,y,y,y,
age,nixpkgs,age,y,y,y,y,
Alejanda,nixpkgs,alejandra,y,y,y,y,
Atuin,nixpkgs,atuin,y,y,y,y,
asn,nixpkgs,asn,y,y,y,y,
astroterm,nixpkgs,astroterm,y,y,y,,
Awk,nixpkgs,gawk,y,y,y,y,
AWS CLI v2,nixpkgs,awscli2,y,y,y,y,
bandwhich,nixpkgs,bandwhich,y,y,y,y,
bash-completion,nixpkgs,bash-completion,y,y,y,y,might not be useful
Bash Line Editor,nixpkgs,blesh,y,y,y,y,
bat,nixpkgs,bat,y,y,y,y,
batdiff,nixpkgs,bat-extras.batdiff,y,y,y,y,
batgrep,nixpkgs,bat-extras.batgrep,y,y,y,y,
batman,nixpkgs,bat-extras.batman,y,y,y,y,
batpipe,nixpkgs,bat-extras.batpipe,y,y,y,y,
batwatch,nixpkgs,bat-extras.batwatch,y,y,y,y,
bc,nixpkgs,bc,y,y,y,y,
bind,nixpkgs,dig,y,y,y,y,
bmon,nixpkgs,bmon,y,y,y,y,
Bottles,flatpak,com.usebottles.bottles,y,y,y,,
bottom,nixpkgs,bottom,y,y,y,y,
Brave Browser,flatpak,com.brave.Browser,y,y,y,,
Broot,nixpkgs,broot,y,y,y,y,
Brotli,nixpkgs,brotli,y,y,y,y,
btop,nixpkgs,btop,y,y,y,y,
btrbk,nixpkgs,btrbk,y,y,y,y,
Btrfs Heatmap,nixpkgs,btrfs-heatmap,y,y,y,y,
bzip2,nixpkgs,bzip2,y,y,y,y,
BZip3,nixpkgs,bzip3,y,y,y,y,
cabextract,nixpkgs,cabextract,y,y,y,,
caligula,nixpkgs,caligula,y,y,y,,
Camera,flatpak,org.gnome.Snapshot,y,y,y,,
Carapace,nixpkgs,carapace,y,y,y,y,
Cartridges,flatpak,page.kramo.Cartridges,y,,,,
Celluloid,flatpak,io.github.celluloid_player.Celluloid,y,y,y,,
cheat,nixpkgs,cheat,y,y,y,y,
checkbashisms,nixpkgs,checkbashisms,y,y,y,y,
chezmoi,nixpkgs,chezmoi,y,y,y,y,
choose,nixpkgs,choose,y,y,y,y,
Chrome,flatpak,com.google.Chrome,y,y,y,,
Chromium,flatpak,org.chromium.Chromium,y,y,y,,
ClamAV,nixpkgs,clamav,y,y,y,y,use distro package
ClamTK,flatpak,com.gitlab.davem.ClamTk,y,y,y,,
Clapper,flatpak,com.github.rafostar.Clapper,y,y,,,
Clipboard,nixpkgs,clipboard-jh,y,y,y,,
Cmake,nixpkgs,cmake,y,y,y,,
cmatrix,nixpkgs,cmatrix,y,y,y,y,
colordiff,nixpkgs,colordiff,y,y,y,y,
compsize,nixpkgs,compsize,y,y,y,y,
cpufetch,nixpkgs,cpufetch,y,y,y,y,
ctop,nixpkgs,ctop,y,y,y,y,
Curlie,nixpkgs,curlie,y,y,y,y,
cURL,nixpkgs,curl,y,y,y,y,
Cursor,appimage,cursor,y,y,y,,
Cyme,nixpkgs,cyme,y,y,y,y,
DASH,nixpkgs,dash,y,y,y,y,
ddh,nixpkgs,ddh,y,y,y,y,
delta,nixpkgs,delta,y,y,y,y,
diff-so-fancy,nixpkgs,diff-so-fancy,y,y,y,y,
difftastic,nixpkgs,difftastic,y,y,y,y,
Diffutils,nixpkgs,diffutils,y,y,y,y,
direnv,nixpkgs,direnv,y,y,y,y,
Discord,flatpak,com.discordapp.Discord,y,y,y,,
Disk Usage Analyzer,flatpak,org.gnome.baobab,y,y,y,,
Distrobox,nixpkgs,distrobox,y,y,y,y,
dive,nixpkgs,dive,y,y,y,y,
doggo,nixpkgs,doggo,y,y,y,y,
dog,nixpkgs,dogdns,y,y,y,y,
dos2unix,nixpkgs,dos2unix,y,y,y,y,
dotenv-linter,nixpkgs,dotenv-linter,y,y,y,y,
draw.io Desktop,flatpak,com.jgraph.drawio.desktop,y,y,y,,
dsq,nixpkgs,dsq,y,y,y,y,
dua,nixpkgs,dua,y,y,y,y,
duf,nixpkgs,duf,y,y,y,y,
dust,nixpkgs,du-dust,y,y,y,y,
dysk,nixpkgs,dysk,y,y,y,y,
Easy Effects,flatpak,com.github.wwmm.easyeffects,y,,,,
EasyTAG,flatpak,org.gnome.EasyTAG,y,,,,
Editorconfig-Checker,nixpkgs,editorconfig-checker,y,y,y,y,
entr,nixpkgs,entr,y,y,y,y,
eza,nixpkgs,eza,y,y,y,y,
Fail2ban,nixpkgs,fail2ban,y,y,y,y,use distro package
fastfetch,nixpkgs,fastfetch,y,y,y,y,
fclones,nixpkgs,fclones,y,y,y,y,
fcp,nixpkgs,fcp,y,y,y,y,
fd,nixpkgs,fd,y,y,y,y,
fend,nixpkgs,fend,y,y,y,,
fff,nixpkgs,fff,y,y,y,y,
FFmpeg,nixpkgs,ffmpeg-headless,y,y,y,y,
Filelight,flatpak,org.kde.filelight,y,y,y,,
file,nixpkgs,file,y,y,y,y,
FileZilla,flatpak,org.filezillaproject.Filezilla,y,y,y,,
findutils,nixpkgs,findutils,y,y,y,y,
Firefox,flatpak,org.mozilla.firefox,y,y,y,,
fish shell,nixpkgs,fish,y,y,y,y,
flac2all,nixpkgs,flac2all,y,,,,
FLAC,nixpkgs,flac,y,,,,
Flameshot,flatpak,org.flameshot.Flameshot,y,y,y,,
Flatpak,nixpkgs,flatpak,y,y,y,y,use distro version
Flatseal,flatpak,com.github.tchx84.Flatseal,y,y,y,,
fselect,nixpkgs,fselect,y,y,y,y,
fx,nixpkgs,fx,y,y,y,y,
fzf,nixpkgs,fzf,y,y,y,y,
Gapless,flatpak,com.github.neithern.g4music,y,y,y,,
Gear Lever,flatpak,it.mijorus.gearlever,y,y,y,,
gdu,nixpkgs,gdu,y,y,y,y,
Ghostscript,nixpkgs,ghostscript,y,y,y,,
